iso_code,Country ,WHO Region,Continents,WorldPop,Case,Death,WPPM,CasePM,DeathPM,CFR,CFR100,urban,Popdens,Obesity_rate,Diabetes_prevalence,Old-age,Hypertension,Avg_temp,Tot_Rain
PSE,Palestine,WHO Eastern Mediterranean Region,Asia,5371230,0,0,5.37123,0,0,,,77.291,898.538,,9.2,6.5751743,,20.58,539.39
,Papua New Guinea,WHO Western Pacific Region,Oceania,10329931,0,0,10.329931,0,0,,,13.582,22.942,21.3,16.7,5.3271713,28,20.82,2220.08
PHL,Philippines,WHO Western Pacific Region,Asia,117337368,0,0,117.337368,0,0,,,47.977,382.971,6.4,7.1,7.9569736,34,28.24,2675.56
,Pitcairn Islands,,Oceania,,0,0,0,0,0,,,,,,,,,,
POL,Poland,WHO European Region,Europe,41026067,0,0,41.026067,0,0,,,60.134,126.596,23.1,6.8,29.908493,49,10.88,618.24
PRT,Portugal,WHO European Region,Europe,10247605,0,0,10.247605,0,0,,,67.381,113.396,20.8,9.1,38.23013,32,16.21,734.57
QAT,Qatar,WHO Eastern Mediterranean Region,Asia,2716391,0,0,2.716391,0,0,,,99.318,257.128,35.1,19.5,1.8880497,41,28.63,91.85
ROU,Romania,WHO European Region,Europe,19892812,0,0,19.892812,0,0,,,54.489,83.096,22.5,6.5,30.679722,48,11.4,604.07
RUS,Russia,WHO European Region,Europe,144444359,0,0,144.444359,0,0,,,75.126,8.882,23.1,5.6,25.19117,44,-11.69,765.39
,Rwanda,WHO Region of Africa,Africa,14094683,0,0,14.094683,0,0,,,17.721,576.393,5.8,6.5,6.5387173,30,20.6,1396.21
,Saba,WHO Region of the Americas,North America,,0,0,0,0,0,,,,,,,,,,
,Saint Barthelemy,WHO Region of the Americas,North America,10994,151,0,0.010994,13734.76442,0,,,,503.864,,,27.632336,,,
,Saint Helena,,Africa,5314,0,0,0.005314,0,0,,,,13.56,,,43.997486,,,
